"team";"cluster";"C1";"C2";"C3";"C4";"C5";"C6";"C7";"C8";"C9";"C10";"C11";"B1";"B2";"B3";"B4";"B5";"B6";"B7";"B8";"B9";"B10";"B11";"X1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10";"X11";"Y1";"Y2";"Y3";"Y4";"Y5";"Y6";"Y7";"Y8";"Y9";"Y10";"Y11"
"Spain";5;3,42407286998828;5,50872750887182;6,88649250486055;6,5558326249987;5,15418063993164;7,65425131099026;5,41583918932682;6,66568060308791;2,59244345221266;5,37906721775216;5,9452774425443;0;0,0777777777777778;0,122222222222222;0,0555555555555556;0;0,344444444444444;0,0111111111111111;0,188888888888889;0;0;0,0888888888888889;13,1589775475845;63,9361566815692;64,2496662038541;55,6289347303642;47,9921862216433;53,0914277622571;66,3418374337017;69,0950678283249;80,1892453995676;70,9036546340875;69,7328592538372;50,5679049588555;17,2919407567439;86,9327615635643;54,3903837592034;35,7816546119862;48,4612876762581;48,1724757930493;77,9228778717247;66,4682778218941;13,9649115691808;67,7456550358394
"Albania";5;5,34181240063593;7,20720720720721;4,89588300747099;5,85112558178806;7,04638872577804;6,01857681936019;3,91354068134009;5,43630676302448;2,04512254504139;4,06222293866366;3,47107438016529;0;0,3;0,0666666666666667;0,0666666666666667;0,155555555555556;0,122222222222222;0,0111111111111111;0,122222222222222;0;0;0;11,970255336009;50,8392400843481;54,0977596687752;45,1451574446677;39,1545124926185;38,6041260851673;53,5000000816205;50,7638587410694;54,2661299725741;57,1513695806184;69,8975917976278;46,6930508034884;9,45118958209874;93,7040390310304;49,5379141776086;35,2824969183686;73,8125398650035;48,1000001328694;47,5608396425379;48,8565407076548;24,8688434526341;48,8506803566182
"Israel";5;4,05660515417148;6,120961865436;5,11175534852392;5,04302581548929;6,58732888491436;6,60222556225093;4,78905359179019;4,49438202247191;1,79155410209015;3,77697841726619;3,75223347230494;0;0,188888888888889;0,0111111111111111;0,0555555555555556;0,122222222222222;0,2;0,1;0;0;0;0,0888888888888889;13,8775880023188;48,2257288864303;54,0906813184158;52,4917801434907;38,6444831340364;41,0236581789455;53,6266562253441;54,171291999976;51,8459757402407;62,3509873133851;63,668531402039;53,5922526742569;8,50830336274636;87,247151220373;31,4085613246404;33,572349529321;71,1429572138102;54,1761396007887;45,903171018018;50,2691517163766;24,1611701257493;73,1388696716996
"Croatia";6;2,6025819265144;5,08250825082508;5,15275564477742;5,73734864948774;4,49023228690835;4,40425396421066;3,67980884109916;5,45510476125372;2,25786219872771;4,47674418604651;3,34439283344393;0;0,111111111111111;0,0555555555555556;0,255555555555556;0,155555555555556;0;0;0,0888888888888889;0;0,133333333333333;0,0888888888888889;11,3462677727139;56,3738991112254;53,4599389920252;55,3987852625799;40,8836689192066;36,2095422655123;67,6400195141721;52,7170954497679;61,7676266913746;60,409409378741;69,3514094132771;53,8028811416011;8,72330224470525;88,4549642914884;44,8565154606488;29,946372244617;64,7906263729639;42,2108202337151;58,2529181813229;43,338657602172;55,325699389227;74,6638719285243
"Ukraine";5;4,73535320405067;6,58129033177111;5,98546387345019;3,87031917567228;8,12464828362409;7,28350491084801;4,86208311846855;5,2896725440806;3,74337616879224;5,12393944435202;4,24199575800424;0;0,1;0,177777777777778;0;0,444444444444444;0,2;0;0,0222222222222222;0;0,0444444444444444;0,0111111111111111;13,3905575745592;44,3045218772249;47,3587887614635;54,8084954342413;39,0312925282851;41,2719264461581;65,5530212894636;43,7538762547836;55,4165927303775;54,6023298203053;66,6078708752922;46,8055653537486;10,0863600644573;89,3110634518656;62,354515556025;39,6612549335797;70,6023224064013;15,5902335818731;47,5420688837348;45,2487084461263;31,5996017168991;82,1074896198077
"Wales";1;4,34033758181192;5,46734778406738;3,46589646745168;6,91387206382036;6,07381197959003;6,29072945133488;3,77981100944953;6,46983311938382;2,59281084266352;2,42914979757085;5,02092050209205;0;0,0666666666666667;0;0,283333333333333;0,0555555555555556;0,1;0;0,0944444444444444;0;0;0,116666666666667;11,216837960205;52,6332604485886;65,0252047415617;38,858503791844;32,5049808371413;38,6238960827434;55,9070967709159;54,1498149064924;67,0061707389963;63,5893154777614;57,0610470119525;46,1830339311997;7,673815416997;90,0738525940741;77,5587707281152;51,91761015148;26,7428348174795;56,5738189634987;46,3073760411202;31,5520698271694;57,4213522832144;34,7256034058868
"Serbia";2;3,43947840876878;3,92664509169364;4,28689200329761;4,31058303398729;5,08301008533747;5,02623584645126;3,66741671831541;5,0179211469534;2,72156315422191;4,50526589520218;2,92737849502721;0;0,1;0,166666666666667;0,1;0,211111111111111;0,155555555555556;0,144444444444444;0,0555555555555556;0;0,0111111111111111;0,0666666666666667;11,7889867792783;62,1258054017538;62,8296086561771;44,787571421991;41,2936590864901;50,2665226258597;70,0965787830042;51,9385649763672;66,081268808032;50,7677846979391;66,0094102252961;43,143377904627;6,06217495140938;92,912890506303;75,1383484800986;57,8245639342084;23,9445513604866;31,329696691228;56,9398111990645;40,0986895760075;46,1381644525776;76,9917029070762
"Bulgaria";6;3,86468270845687;3,91870716156892;5,28125187092852;5,12145392551002;5,05964453078959;4,81095019162453;3,02272580481459;4,89845642432513;2,81474735150833;2,92289271815976;4,38906583598754;0;0,177777777777778;0,233333333333333;0,177777777777778;0,333333333333333;0,111111111111111;0,0333333333333333;0,0444444444444444;0;0;0;9,79354007233206;53,8167324673695;44,1000013996987;44,3605910653908;36,445191955418;35,1717539067298;66,1600927313261;50,6449527344768;61,5742656836615;55,4534993397111;53,9161479785601;49,2747239152914;5,80459820122863;88,9000027305883;47,0938421848278;28,387002591598;69,9942657302447;20,3283717136062;66,0716050168869;45,9393116565896;52,9479373890454;75,7279574756631
"Sweden";6;1,45985401459854;1,67597765363129;1,84615384615385;1,49625935162095;2,46913580246914;2,42914979757085;1,35746606334842;2,72727272727273;1,81268882175227;1,4018691588785;1,82926829268293;0;0,122222222222222;0,0277777777777778;0;0,0722222222222222;0,116666666666667;0,05;0,222222222222222;0,0833333333333333;0,0333333333333333;0,1;13,5182605547487;40,8138569472904;54,3174376560411;52,2946173919533;32,8496648308182;35,341537810521;51,0166427836042;44,5849447121054;47,0504999222889;59,8661139111978;64,2804281895743;53,2044433441735;17,3162109879875;93,7475571515693;40,7805808648461;39,1191124129949;71,70729971252;48,5045949242916;61,6889537787126;37,9476919417864;77,6065787967703;81,4016808696219
"Belarus";4;2,16606498194946;2,36220472440945;2,00573065902579;1,80257510729614;1,66666666666667;1,64383561643836;2,15938303341902;1,42517814726841;1,44827586206897;1,48672566371681;1,60611854684512;0,134259259259259;0,201851851851852;0,0333333333333333;0;0,0703703703703704;0,0333333333333333;0,206481481481482;0;0,0731481481481481;0;0,169444444444444;11,2055398891648;45,1782966557528;52,4566857597189;42,7196325073413;34,6960236020549;34,0472782560582;57,9021229316407;41,0326246752495;61,1999996867641;64,7658920924054;56,9796966810841;45,1066982462499;4,87654436165478;89,2208776105249;32,6696267191126;27,6552196248314;76,5844990176752;11,7786814360383;58,4607402155276;28,300000163926;79,4882877590792;76,2842281328733
